2026 NFL Schedule with Kickoff Times:

Week 1:
  Bears @ Seahawks                     8:20 PM ET (Wednesday Kickoff Game)
  49ers @ Rams                         8:35 PM ET (Thursday Night Football in Melbourne)
  Jaguars @ Bengals                    1:00 PM ET
  Cowboys @ Texans                     1:00 PM ET
  Saints @ Falcons                     1:00 PM ET
  Raiders @ Browns                     1:00 PM ET
  Colts @ Titans                       4:05 PM ET
  Vikings @ Buccaneers                 1:00 PM ET
  Giants @ Lions                       1:00 PM ET
  Jets @ Chargers                      1:00 PM ET
  Ravens @ Steelers                    1:00 PM ET
  Commanders @ Cardinals               4:05 PM ET
  Chiefs @ Bills                       4:25 PM ET
  Panthers @ Eagles                    1:00 PM ET
  Broncos @ Patriots                   8:20 PM ET (Sunday Night Football)
  Dolphins @ Packers                   8:15 PM ET (Monday Night Football)

Week 2:
  Texans @ Steelers                    1:00 PM ET
  Jets @ Patriots                      1:00 PM ET
  Buccaneers @ Falcons                 1:00 PM ET
  Browns @ Jaguars                     1:00 PM ET
  Cardinals @ Giants                   1:00 PM ET
  Chiefs @ Broncos                     4:25 PM ET
  Chargers @ Raiders                   4:05 PM ET
  Titans @ Ravens                      1:00 PM ET
  Saints @ Bears                       1:00 PM ET
  Packers @ Vikings                    1:00 PM ET
  Eagles @ Cowboys                     8:15 PM ET (Thursday Night Football)
  Bengals @ Panthers                   1:00 PM ET
  Seahawks @ 49ers                     4:25 PM ET
  Dolphins @ Colts                     1:00 PM ET
  Lions @ Bills                        8:20 PM ET (Sunday Night Football)
  Rams @ Commanders                    8:15 PM ET (Monday Night Football)

Week 3:
  Bills @ Jets                         8:15 PM ET (Thursday Night Football)
  Patriots @ Lions                     4:25 PM ET
  Cardinals @ Saints                   1:00 PM ET
  Buccaneers @ Panthers                1:00 PM ET
  Vikings @ 49ers                      1:00 PM ET
  Raiders @ Chiefs                     1:00 PM ET
  Colts @ Eagles                       1:00 PM ET
  Steelers @ Browns                    1:00 PM ET
  Titans @ Texans                      1:00 PM ET
  Chargers @ Dolphins                  1:00 PM ET
  Seahawks @ Broncos                   4:05 PM ET
  Giants @ Rams                        4:05 PM ET
  Bengals @ Ravens                     8:20 PM ET (Sunday Night Football)
  Falcons @ Commanders                 1:00 PM ET
  Jaguars @ Cowboys                    8:15 PM ET (Monday Night Football)
  Bears @ Packers                      1:00 PM ET

Week 4:
  Broncos @ Steelers                   8:15 PM ET (Thursday Night Football)
  Texans @ Jaguars                     1:00 PM ET
  Bengals @ Falcons                    1:00 PM ET
  Eagles @ Titans                      1:00 PM ET
  Commanders @ Vikings                 1:00 PM ET
  Panthers @ Packers                   1:00 PM ET
  Ravens @ Colts                       1:00 PM ET
  Dolphins @ Raiders                   1:00 PM ET
  Rams @ Cardinals                     4:05 PM ET
  Lions @ Bears                        1:00 PM ET
  49ers @ Chargers                     4:25 PM ET
  Patriots @ Bills                     1:00 PM ET
  Jets @ Chiefs                        1:00 PM ET
  Cowboys @ Seahawks                   4:25 PM ET
  Saints @ Giants                      8:20 PM ET (Sunday Night Football)
  Browns @ Buccaneers                  8:15 PM ET (Monday Night Football)

Week 5:
  Bills @ Texans                       8:15 PM ET (Thursday Night Football)
  Steelers @ Saints                    1:00 PM ET 
  Jets @ Titans                        1:00 PM ET
  Bears @ Dolphins                     1:00 PM ET
  Raiders @ Chargers                   4:05 PM ET
  Browns @ Bengals                     1:00 PM ET
  Giants @ Cowboys                     8:15 PM ET (Rio de Janeiro, Brazil on Friday)
  Lions @ Panthers                     1:00 PM ET
  Seahawks @ Commanders                1:00 PM ET
  Broncos @ Cardinals                  4:05 PM ET
  Jaguars @ Ravens                     1:00 PM ET
  Packers @ Patriots                   8:20 PM ET (Sunday Night Football)
  Eagles @ 49ers                       8:15 PM ET (Monday Night Football)
  Falcons @ Vikings                    4:25 PM ET
  Bye: Buccaneers, Chiefs, Colts, Rams

Week 6:
  Chiefs @ Chargers                    8:15 PM ET (Thursday Night Football)
  Cowboys @ Commanders                 1:00 PM ET
  Titans @ Lions                       9:30 PM ET (Munich, Germany)
  Bengals @ Dolphins                   1:00 PM ET
  Vikings @ Jets                       1:00 PM ET
  49ers @ Falcons                      1:00 PM ET
  Seahawks @ Panthers                  4:05 PM ET
  Steelers @ Ravens                    1:00 PM ET
  Giants @ Colts                       1:00 PM ET
  Saints @ Buccaneers                  1:00 PM ET
  Patriots @ Bears                     4:25 PM ET
  Packers @ Rams                       4:25 PM ET
  Texans @ Eagles                      8:20 PM ET (Sunday Night Football)
  Bills @ Broncos                      8:15 PM ET (Monday Night Football)
  Bye: Browns, Cardinals, Jaguars, Raiders

Week 7:
  Commanders @ Giants                  8:15 PM ET (Thursday Night Football)
  Patriots @ Jaguars                   9:30 AM ET (London, UK)
  Chiefs @ Rams                        4:05 PM ET
  Raiders @ Saints                     1:00 PM ET
  Jets @ Bills                         1:00 PM ET
  Dolphins @ Broncos                   1:00 PM ET
  Colts @ Steelers                     1:00 PM ET
  Panthers @ Buccaneers                1:00 PM ET
  Titans @ Cowboys                     1:00 PM ET
  49ers @ Cardinals                    4:05 PM ET
  Ravens @ Texans                      1:00 PM ET
  Eagles @ Bears                       1:00 PM ET
  Lions @ Vikings                      8:20 PM ET (Sunday Night Football)
  Falcons @ Packers                    4:25 PM ET
  Chargers @ Seahawks                  8:15 PM ET (Monday Night Football)
  Bengals @ Browns                     1:00 PM ET

Week 8:
  Bears @ Panthers                     8:20 PM ET (Sunday Night Football)
  Commanders @ Cowboys                 1:00 PM ET
  Texans @ Packers                     1:00 PM ET
  Steelers @ Titans                    1:00 PM ET
  Lions @ Dolphins                     1:00 PM ET
  Vikings @ Patriots                   1:00 PM ET
  Cardinals @ Chiefs                   1:00 PM ET
  Rams @ Eagles                        4:25 PM ET
  Bills @ Raiders                      1:00 PM ET
  Buccaneers @ Bengals                 1:00 PM ET
  49ers @ Seahawks                     4:25 PM ET
  Broncos @ Chargers                   4:05 PM ET
  Colts @ Jaguars                      9:30 AM ET (London, UK)
  Falcons @ Saints                     8:15 PM ET (Thursday Night Football)
  Browns @ Giants                      8:15 PM ET (Monday Night Football)
  Bye: Jets, Ravens

Week 9:
  Bears @ Lions                        8:15 PM ET (Thursday Night Football)
  Chiefs @ Falcons                     9:30 AM ET (Madrid, Spain)
  Steelers @ Buccaneers                1:00 PM ET
  Dolphins @ Vikings                   1:00 PM ET
  Browns @ Ravens                      1:00 PM ET
  Raiders @ 49ers                      4:05 PM ET
  Jaguars @ Texans                     1:00 PM ET
  Bengals @ Colts                      1:00 PM ET
  Panthers @ Saints                    1:00 PM ET
  Packers @ Jets                       1:00 PM ET
  Cardinals @ Chargers                 4:05 PM ET
  Cowboys @ Eagles                     4:25 PM ET
  Rams @ Broncos                       8:20 PM ET (Sunday Night Football)
  Bills @ Patriots                     8:15 PM ET (Monday Night Football)
  Bye: Commanders, Giants, Seahawks, Titans

Week 10:
  Commanders @ Jaguars                 8:15 PM ET (Thursday Night Football)
  Falcons @ Steelers                   1:00 PM ET
